name,sku,barcode,description,unit,stock_minimo,stock_actual
Samsung Galaxy S24 128GB Negro,ELE-001,8806094921700,Smartphone Samsung Galaxy S24 128GB color negro 5G,UNIDAD,5,25
iPhone 15 128GB Azul Apple,ELE-002,0194253896531,Smartphone Apple iPhone 15 128GB color azul,UNIDAD,3,15
Laptop HP Pavilion 15 Core i5 512GB,ELE-003,0195122593060,Laptop HP Pavilion 15 Intel Core i5 512GB SSD 8GB RAM,UNIDAD,3,12
Smart TV LG 55 pulgadas 4K UHD,ELE-004,8806098765432,Televisor LG OLED 55 pulgadas 4K UHD Smart WebOS,UNIDAD,2,8
Airpods Pro 2da generación Apple,ELE-005,0194253378543,Audífonos inalámbricos Apple AirPods Pro 2da gen con cancelación de ruido,UNIDAD,5,20
Teclado mecánico Logitech G Pro X TKL,ELE-006,5099206083844,Teclado mecánico gaming TKL Logitech G Pro X switches GL,UNIDAD,5,18
Mouse Logitech MX Master 3S inalámbrico,ELE-007,5099206097575,Mouse inalámbrico ergonómico Logitech MX Master 3S 8000 DPI,UNIDAD,5,22
Monitor Dell 27 pulgadas Full HD IPS,ELE-008,0884116365679,Monitor Dell 27 pulgadas Full HD IPS 75Hz sin bordes,UNIDAD,3,10
Tablet Samsung Galaxy Tab A9 Plus,ELE-009,8806095070551,Tablet Samsung Galaxy Tab A9+ 11 pulgadas 64GB WiFi,UNIDAD,3,12
Cargador inalámbrico Belkin 15W Boost,ELE-010,0745883834440,Cargador inalámbrico rápido Belkin 15W compatible MagSafe,UNIDAD,8,35
Disco SSD externo Seagate 1TB USB-C,ELE-011,0763649157313,Disco duro externo SSD Seagate 1TB USB-C 3.2 portátil,UNIDAD,5,20
Cámara web Logitech C920 Full HD,ELE-012,0097855121370,Webcam Logitech C920 Full HD 1080p 30fps micrófono integrado,UNIDAD,5,18
Parlante Bluetooth JBL Charge 5,ELE-013,6925281975028,Parlante portátil Bluetooth JBL Charge 5 30W waterproof,UNIDAD,5,22
Router WiFi 6 TP-Link Archer AX3000,ELE-014,6935364012893,Router inalámbrico WiFi 6 TP-Link AX3000 doble banda,UNIDAD,3,12
UPS APC Back-UPS 600VA,ELE-015,0731304011164,UPS APC Back-UPS 600VA 120V protección de voltaje,UNIDAD,3,10
Kit cámara seguridad Hikvision 4 cámaras,ELE-016,6954273685617,Kit CCTV Hikvision 4 cámaras HD 1080p DVR 1TB incluido,KIT,2,8
Impresora multifuncional HP DeskJet 2775,ELE-017,0195161609635,Impresora multifuncional HP DeskJet 2775 WiFi copia escaneo,UNIDAD,2,7
Audífonos Sony WH-1000XM5 cancelación ruido,ELE-018,0027242924734,Audífonos over-ear Sony WH-1000XM5 ANC Bluetooth 30h batería,UNIDAD,3,12
Smartwatch Samsung Galaxy Watch 6 44mm,ELE-019,8806094776751,Reloj inteligente Samsung Galaxy Watch 6 44mm GPS health tracking,UNIDAD,3,14
Batería portátil Anker PowerCore 20000mAh,ELE-020,0848061032723,Power bank Anker PowerCore 20000mAh carga rápida 2 puertos USB,UNIDAD,8,35
